Country, Total Cases, New Cases, Total Deaths, New Deaths, Recoveries, Active Cases, Serious Cases, Cases Per Million,DeathsPerMillion, Tests, Population 
USA,45166755,31135,732689,212,34596026,9838040,17392,135447,2197.0,656925286,333463677
India,33952266,17931,450621,213,33264283,237362,8944,24300,323.0,580043190,1397198247
Brazil,21550730,0,600493,0,20665273,284964,8318,100481,2800.0,63776166,214474907
UK,8120713,34950,137697,133,6619618,1363398,808,118831,2015.0,311519071,68338194
Russia,7746718,29362,215453,968,6840845,690420,2300,53055,1476.0,196200000,146013851
Turkey,7416182,28645,65984,206,6867704,482494,633,86750,772.0,89503695,85489002
France,7052520,4734,117044,15,6838304,97172,1200,107743,1788.0,146046715,65456721
Iran,5691634,7654,122370,173,5201515,367749,5368,66682,1434.0,32619228,85354772
Argentina,5265058,0,115444,0,5130084,19530,981,115155,2525.0,24252818,45721392
Spain,4973619,0,86778,0,4800693,86148,550,106324,1855.0,65473038,46777754
Colombia,4969131,0,126552,0,4812120,30459,342,96357,2454.0,25895959,51570105
Italy,4698038,2748,131274,46,4481462,85302,367,77848,2175.0,95061127,60349011
Germany,4317999,1500,94995,7,4082100,140904,1336,51329,1129.0,73348901,84123726
Indonesia,4227038,1167,142612,52,4059267,25159,0,15250,514.0,41404757,277188605
Mexico,3714392,7158,281610,489,3070469,362313,4798,28430,2155.0,10869447,130649261
Poland,2920874,2012,75864,29,2667431,177579,214,77284,2007.0,21204795,37794015
South Africa,2910681,0,88236,0,2789432,33013,546,48305,1464.0,17931034,60255936
Philippines,2654450,11010,39505,273,2508387,106558,3194,23822,355.0,21657259,111428458
Ukraine,2529913,15908,58331,250,2287846,183736,177,58293,1344.0,13217913,43400225
Malaysia,2332221,8743,27265,74,2184710,120246,768,70907,829.0,31332561,32891292
Peru,2183025,0,199615,0,2184710,0,934,65061,5949.0,18218057,33553566
Iraq,2022109,1227,22537,28,1941835,57737,360,48886,545.0,15395889,41364069
Netherlands,2021433,2501,18204,2,1945745,57484,132,117642,1059.0,17496108,17182963
Japan,1709609,827,17902,46,1678327,13380,501,13570,142.0,25322667,125985087
Thailand,1700067,10630,17607,73,1572332,110128,3324,24279,251.0,9201621,70022136
Czechia,1699074,1017,30499,2,1658115,10460,67,158286,2841.0,38786725,10734183
Chile,1661370,998,37554,12,1615629,8187,367,85974,1943.0,22325502,19324185
Canada,1656770,1390,28190,4,1586645,41935,776,43415,739.0,44186056,38161575
Bangladesh,1561878,415,27674,20,1523134,11070,1428,9366,166.0,9931841,166768630
Romania,1346240,14019,39209,279,1172139,134892,1593,70577,2056.0,13428429,19074772
Israel,1304249,1472,7894,9,1267200,29155,464,139851,846.0,27152490,9326000
Belgium,1261102,2414,25675,10,1175391,60036,195,108216,2203.0,20397783,11653587
Pakistan,1257188,955,28087,29,1185749,43352,2644,5555,124.0,19827048,226319842
Sweden,1157822,0,14864,0,1121661,21297,29,113745,1460.0,12743845,10179107
Portugal,1074813,704,18034,7,1026795,29984,55,105799,1775.0,18919326,10158977
Serbia,1000365,5657,8683,52,863479,128203,285,115081,999.0,5839285,8692702
Morocco,938801,515,14442,15,917169,7190,347,25058,385.0,9804658,37464824
Cuba,914779,3442,7812,35,888833,18134,320,80826,690.0,9925461,11317844
Kazakhstan,902061,1940,11489,30,843654,46918,221,47324,603.0,11575012,19061244
Switzerland,848416,0,11133,0,790942,46341,152,97130,1275.0,11112913,8734857
Vietnam,836134,4513,20442,105,760801,54891,0,8493,208.0,42517091,98448596
Jordan,832399,567,10802,13,807994,13603,451,80569,1046.0,10313951,10331495
Hungary,827410,0,30275,0,788014,9121,100,85927,3144.0,7032329,9629222
Nepal,801633,636,11221,11,775072,15340,0,26900,377.0,4279701,29800105
Austria,759543,1868,11090,6,728187,20266,219,83728,1223.0,90079511,9071556
UAE,737655,146,2113,2,730922,4620,0,73459,210.0,86668966,10041789
Tunisia,709456,0,24996,0,681539,2921,205,59243,2087.0,2985601,11975324
Greece,675479,2162,15105,36,633331,27043,331,65211,1458.0,21841498,10358430
Georgia,631563,2844,9221,29,598468,23874,0,158706,2317.0,9248902,3979450
Lebanon,628881,0,8379,0,601818,18684,200,92664,1235.0,4780275,6786649
Guatemala,576818,0,13938,0,541847,21033,5,31460,760.0,2657387,18334995
Belarus,555793,1998,4275,16,531186,20332,0,58843,453.0,8817406,9445379
Saudi Arabia,547532,35,8743,4,536585,2204,141,15423,246.0,29341462,35500368
Costa Rica,544021,0,6612,0,454977,82432,419,105572,1283.0,2393237,5153073
Sri Lanka,525479,542,13296,29,479629,32554,0,24410,618.0,4950195,21527110
Bulgaria,518995,0,21586,0,447581,49828,462,75413,3137.0,4950589,6882037
Ecuador,511699,0,32836,0,443880,34983,759,28456,1826.0,1866212,17982296
Bolivia,503022,0,18780,0,463587,20655,220,42361,1582.0,2436950,11874695
Azerbaijan,491147,1017,6654,16,471980,12513,0,47893,649.0,4944352,10255004
Myanmar,477333,1448,18104,36,430172,29057,0,8699,330.0,4488825,54872232
Panama,468740,0,7260,0,458763,2717,49,106513,1650.0,3932433,4400767
Paraguay,460171,0,16206,0,443682,283,12,63529,2237.0,1853602,7243529
Slovakia,424407,1793,12729,9,395079,16599,167,77688,2330.0,3686102,5462997
Croatia,416950,1594,8763,11,398413,9774,125,102366,2151.0,2904282,4073129
Palestine,412393,0,4216,0,387363,20814,82,78530,803.0,2525148,5251382
Kuwait,412048,32,2454,1,408967,627,12,94712,564.0,4440173,4350550
Ireland,401773,1940,5280,0,356948,39545,74,80232,1054.0,7616896,5007671
Uruguay,389817,0,6062,0,382449,1306,8,111727,1737.0,3643650,3488998
Venezuela,380856,0,4592,0,360847,15417,681,13442,162.0,3359014,28333690
Honduras,369030,0,9949,0,111930,247151,350,36523,985.0,1055246,10104059
Dominican Republic,364252,0,4065,0,352734,7453,184,33157,370.0,2097752,10985764
Denmark,363356,618,2669,0,354012,6675,17,62453,459.0,84252274,5818071
Ethiopia,353425,0,5921,0,321695,25809,745,2981,50.0,3540107,118563842
Lithuania,350029,2432,5209,24,316531,28289,206,130899,1948.0,5154968,2674040
Libya,345451,0,4757,0,268628,72066,0,49423,681.0,1705490,6989637
S. Korea,329925,1949,2560,6,294929,32436,384,6428,50.0,14925875,51325161
Mongolia,323322,1665,1419,15,293597,28306,192,96655,424.0,4022930,3345130
Egypt,310745,0,17619,0,262043,31083,90,2966,168.0,3693367,104777015
Moldova,305977,1299,6980,1,286951,12046,252,76075,1735.0,1857626,4022065
Oman,303915,0,4101,0,299181,633,10,57660,778.0,25000000,5270806
Slovenia,300969,883,4607,5,284624,11738,79,144745,2216.0,1618621,2079301
Bahrain,275538,0,1390,0,273536,612,4,155125,783.0,6565857,1776229
Armenia,271205,1331,5529,30,247553,18123,0,91307,1861.0,1797516,2970269
Kenya,250898,0,5179,0,243591,2128,51,4540,94.0,2598772,55269439
Bosnia and Herzegovina,240094,0,10863,0,192218,37013,0,73764,3337.0,1248564,3254913
Qatar,237359,62,607,0,235758,994,13,84535,216.0,2713874,2807805
